,Extra_disp,Intra_disp,CH_score
424498,8843492.578017121,33381741.287218507,745.1141332299111
425123,21326662.1716208,45467809.215766124,1845.4291309670052
425217,27239576.453749556,75147741.0387373,1736.4256761461058
425876,7114765.6048897775,17600313.944807347,947.1362763489169
427147,19440464.740597576,51608098.420231946,1529.0012381303104
427569,8551682.820199594,51092729.29956222,601.3140445036336
431982,8504477.503315207,52114212.43721728,503.63456038697575
434280,9542697.710838865,76195238.65287861,477.1647011164326
434707,4139187.460385837,5462337.32000942,957.6679003827248
435390,5261778.203681002,25798838.353147525,537.3781959204878
436112,3172430.1052649375,24537105.845743164,274.304058255418
436654,11079337.330342256,23251598.598338492,1244.803049535457
437430,11542474.7411797,42313165.233258046,940.896377234021
437528,11454441.750168009,112243187.76464786,431.06011969439595
439883,20583087.132926196,59362069.772112116,1492.9846098221763
440399,15930350.754772013,63513349.07342664,1053.1887200902534
443769,15533819.804486731,53397663.21008821,1169.2765482358798
444131,1671579.843672131,17095347.58122057,182.14423064512653
444402,26016853.359166823,36683860.68333477,2689.070870924742
444879,3413228.569900102,18449314.84747324,340.1144950249323
445905,3422871.2970004706,18478582.713875003,340.42399068322925
446264,17622746.071675546,47053226.19041206,1218.7886975990657
446364,2946360.586352705,44875995.030271806,181.5902712404983
447206,684598.6393623119,32272642.937895413,56.53681036101162
449400,6879537.967464819,22109986.987701707,728.3415627154826
449645,11709626.93778499,29449109.643091552,1207.9769836211685
451177,6959740.9255561,39511868.97221812,528.4291358464733
454779,5333707.017687827,29384346.52080332,471.3588023380381
456047,14011633.926597182,45096990.5669222,1126.287416197787
456885,4139255.9857384413,34221481.21382203,341.0928301685495
458132,2046454.8801550148,44184006.241955414,154.62348376689775
458524,13080446.04615626,90862213.64834546,670.1010003046175
459202,487893.20783850853,12747303.401264736,62.01190561303521
462613,22543479.48292052,31487115.991782255,2167.0642594486017
463229,12154702.039202547,28274167.68737956,1301.0105428448
465494,30515550.982202828,65442326.54996816,2106.9157046656424
467506,6047155.983705474,22585023.467787694,634.4620734809498
470604,6025847.101218875,71527079.44673549,352.83773676399886
471714,2427688.460742229,4934996.007383365,516.4314909828073
473772,3484123.5241265455,39562544.48344969,274.2205783544502
476802,2606983.4707051776,23831009.077923253,295.9670636241269
476914,538318.1436278091,19763614.216437303,50.16665201393651
480984,1372783.5544741573,53785572.07364922,88.83628555925796
482851,1323362.5811358525,42815650.68997789,83.55154415915018
483076,349844.2168585909,2740300.031430754,104.32897519895708
483634,7455030.877779406,45923934.614898354,551.8393007576013
484480,3554232.592298508,37558626.10200883,287.47185106185043
484782,882812.6864784366,38414870.090774365,67.09536992711166
484793,320955.67780203104,8573430.141329229,31.498723713955624
485975,8408238.496713718,84205220.47985223,453.25783801510323
497169,1947192.223993,42899485.092881426,149.23206141480017
499060,1469050.977128066,15853840.258090293,158.17429576268955
499446,1527611.8151839576,7191751.068179244,284.2068071237631
499543,10215123.96777894,16737935.84769871,1492.9102654803435
500841,9956205.525555484,28402127.829165082,1033.2645350955747
501493,5358159.98579708,14681986.94570814,614.4262479898877
506084,10509890.078762962,44703272.67417951,854.6477724971251
506164,7759290.739772124,60600420.992013104,504.9137712632407
536404,10815572.767621618,38861093.29060945,961.2953516259452
537609,3366690.5130209005,6791782.159624186,679.3081065631727
539359,3692846.870775021,23939161.226036884,395.6143239675856
541857,31006872.750156466,80659547.29711697,1959.2947683038408
542878,5533504.335178348,18058400.64018795,668.8595243560609
543917,786685.1004674461,52057031.884284854,53.30299454138568
544603,11805150.92013131,51010421.92205776,871.6901327283291
545141,26645520.5974664,37700357.74217977,2492.074644733448
545525,18854212.316626202,60379226.19583773,1319.9366815978324
554491,1492656.5002201963,31062569.64141133,132.12713437377352
554761,2625437.6264890786,20317001.954641975,286.38550514563997
555040,558719.6236365736,12542921.292230481,64.0106144700986
555574,4878656.441901081,25906483.813029695,486.7266253012551
556363,3795087.017130882,34962411.995520264,310.46793590180687
559023,1664660.05336569,21675505.417564027,171.89182257424892
560542,1181801.5341430844,45668087.51038888,85.39242422792981
562385,5498230.596153495,20324556.15281289,601.6399449959464
562519,5396756.297298821,37677768.6091899,326.0876596453693
563165,11580859.770633804,45839971.96449277,860.0258931599857
563254,4636901.523916344,56584505.15762146,308.11879827099875
563299,4052075.7880182406,16290636.116598705,489.96115499170776
563512,3420823.5631494503,25531626.096506674,348.94733512823206
564047,3923602.8614928643,42981265.85099795,248.37190004030379
608744,2298937.757729877,41526504.39666428,175.55995919316064
