,STR,LYM
424498,0.16129032258064516,0.09411764705882353
425123,0.2222222222222222,0.09090909090909091
425217,0.26940860215053763,0.07
425876,0.2804494382022472,0.18
427147,0.33,0.03
427569,0.22,0.09
431982,0.2258064516129032,0.07247740963855434
434280,0.12,0.06
434707,0.1656357388316151,0.04
435390,0.03067536292867664,0.07203647416413388
436112,0.19,0.1206060606060606
436654,0.21212121212121213,0.04040404040404041
437430,0.14459416613823717,0.08163265306122448
437528,0.2857142857142857,0.061224489795918366
439883,0.07,0.2351777824531876
440399,0.20430107526881722,0.03
443769,0.22727272727272727,0.10404971932638332
444131,0.26,0.14
444402,0.25311880433124906,0.0
444879,0.3434343434343434,0.0640616400660429
445905,0.35005154639175257,0.0697906976744186
446264,0.2755485893416928,0.0
446364,0.26,0.10206400742115027
447206,0.1,0.18994736842105261
449400,0.125,0.013157894736842105
449645,0.20669371196754566,0.05
451177,0.31313131313131315,0.030303030303030304
454779,0.15102639296187684,0.17533783783783785
456047,0.20208467655276163,0.0
456885,0.09389473684210539,0.11363636363636362
458132,0.17647058823529413,0.17
458524,0.24,0.08421052631578947
459202,0.05,0.048095238095238205
462613,0.32323232323232326,0.11213151927437646
463229,0.31,0.06356103023516246
465494,0.2216374269005848,0.0647255969836615
467506,0.36,0.08
470604,0.2753623188405797,0.11250359298649037
471714,0.1,0.08080808080808081
473772,0.31100000000000005,0.14
476802,0.18361368096439584,0.0
476914,0.16161616161616163,0.07
480984,0.3693636363636364,0.18
482851,0.13395833333333346,0.022222222222222223
483076,0.2734545454545454,0.12
483634,0.24489795918367346,0.06
484480,0.1649659863945578,0.06060606060606061
484782,0.03198352779684282,0.15
484793,0.09803921568627451,0.1320754716981132
485975,0.2310965630114567,0.11744036105738243
497169,0.20234604105571843,0.020748299319727888
499060,0.3385947550717467,0.09090909090909091
499446,0.1111111111111111,0.18
499543,0.2828282828282828,0.1098780487804878
500841,0.25510204081632654,0.13131313131313133
501493,0.35304104878572967,0.0498360655737705
506084,0.2561486132914703,0.07128427128427126
506164,0.3132530120481928,0.03529411764705882
536404,0.31,0.050505050505050504
537609,0.09805555555555559,0.09
539359,0.13447187141216993,0.10717948717948719
541857,0.25,0.07
542878,0.21485714285714297,0.030303030303030304
543917,0.12,0.12
544603,0.25,0.27
545141,0.19937500000000008,0.1111111111111111
545525,0.19387755102040816,0.07
554491,0.12,0.020202020202020204
554761,0.34,0.06
555040,0.1717171717171717,0.06
555574,0.2558139534883721,0.033707865168539325
556363,0.16494845360824742,0.08247422680412371
559023,0.27983505154639177,0.18
560542,0.030303030303030304,0.24
562385,0.31363636363636377,0.125
562519,0.15,0.10271493212669686
563165,0.14285714285714285,0.12027584020291694
563254,0.1664556962025316,0.05
563299,0.25510204081632654,0.04040404040404041
563512,0.2887972508591065,0.0707070707070707
564047,0.25536643026004735,0.05
608744,0.17,0.08
