,Entropy of slide
424498,1.8174644622509173
425123,1.8253914366175892
425217,1.4893969317088502
425876,1.7936672539099539
427147,1.2641495968393348
427569,1.9021471558346577
431982,1.876377737160574
434280,1.7760548076808333
434707,1.7260886034294007
435390,1.5676593236234428
436112,1.8189082528348035
436654,1.8259904324518075
437430,1.6788775569788335
437528,1.8610300478045534
439883,1.5501662069612694
440399,1.2772201365328844
443769,1.7183923163224153
444131,1.5499078320668405
444402,1.1265056687220383
444879,1.337949913521016
445905,1.3480189839641024
446264,0.9049872288132033
446364,1.7364758774551352
447206,1.4622650137727835
449400,1.6848700914015644
449645,1.5428391963708965
451177,1.5832917581391386
454779,1.770313375737113
456047,1.1753038141032333
456885,1.8517613549502168
458132,1.6523417534853695
458524,1.8667297819602569
459202,1.512210433451418
462613,1.6858510386895529
463229,1.41424164500176
465494,1.5776436836099372
467506,1.3225641691511754
470604,1.7302318344485819
471714,1.8658173118160344
473772,1.3263597509839287
476802,1.0811114310143295
476914,1.9166085718247117
480984,1.3813815009638657
482851,1.6673858741684808
483076,1.6228651432973349
483634,1.818375579609641
484480,1.5868840910929622
484782,1.7200476453170546
484793,1.751339090817736
485975,1.9279696865003115
497169,1.4501804287004816
499060,1.359702332679305
499446,1.9939766159805896
499543,1.802119820139204
500841,1.8962225215734099
501493,1.6781131615867737
506084,1.7487644289566706
506164,1.4817987227112328
536404,1.3776662871272158
537609,1.9224781442762562
539359,1.6584011671858023
541857,1.9124281064544906
542878,1.6886218110900717
543917,1.8868790550212764
544603,1.4211441794224637
545141,1.6742866566064982
545525,1.6474815839035242
554491,1.7202136224136408
554761,1.3685383089880125
555040,1.8232654591548598
555574,1.5986473892103092
556363,1.9720408059513062
559023,1.2860827443089626
560542,1.2487636811095608
562385,1.6801242175274322
562519,1.7938405010343672
563165,1.9607255397670182
563254,1.4157351244793426
563299,1.6608630682359158
563512,1.9017665322629207
564047,1.7787360683168332
608744,1.8651846236765572
