,Extra_disp,Intra_disp,CH_score
210-2,4113220.193058555,32949586.887339547,353.5541210459484
211-2,2750049.983141639,53995864.66340518,178.99103423938908
212-2,21236468.310328532,53261646.009042636,1511.147719364144
213-2,31914982.22929397,73198639.96084918,2131.5418593299546
214-2,428049.98049147404,22929618.658045795,42.45101805459201
215-2,6957905.464792133,36546828.053925104,617.1845584651395
216-1,6334624.067499025,8732835.652559016,1298.8653750674832
217-1,9661496.009401297,47299256.3411747,730.2816831549715
218-2,1647732.245698588,24824550.665123142,147.7377166640339
219-5,2140739.5456296415,25335868.678484447,195.41869607718547
220-2,6157512.630763721,60662061.90303013,408.3755816887452
221-2,4903031.908542159,51946150.048614815,343.5680243943192
222-2,899012.5903590504,17578682.523023456,97.00653499826402
223-2,5288083.636783315,85567908.7198706,278.0004301563821
224-2,7598217.219334035,65313482.174772866,471.27142713286537
225-2,423119.99900718284,31570854.428824164,37.23676873845511
226-5,8323365.7875807835,41281239.786673486,633.7907522130103
227-2,772619.95299675,28017276.293013774,63.90590792443052
229-5,3991953.6584814205,33473445.870983332,317.5822600848872
230-2,4230616.123295654,35892734.5302583,366.0046903080896
231-2,3845879.173883381,33643582.030558355,300.45875648596376
232-2,8400564.006638732,17894331.083403014,1101.6205862124698
234-2,14369846.283607703,32758523.244368378,1437.3126035516084
235-2,2927851.239300652,23104513.480644118,293.5136048698617
236-2,1518509.655953687,37899186.52472483,102.2271423602374
237-2,2917530.254765324,49387622.256160975,205.92056263231615
238-2,8374262.445579448,33432063.152803823,780.5643496676067
239-2,8449904.58928547,32992629.67239049,761.9418761930673
240-2,9519495.777932657,46124000.744014226,742.6709100415218
241-2,626568.3936162315,28644498.568039693,51.54378105835105
242-2,2467520.287632556,24796184.936144233,245.97399409130924
244-2,3432064.253905505,57444875.36215236,227.92851487804006
245-2,2717368.3946883352,42008083.60119695,207.4376220256394
246-2,9207643.008690197,50156170.704511225,677.004352814231
248-2,10400717.05198857,58949432.29328232,691.4823211079297
249-5,5952278.55429055,435292394.12224174,80.74346090573918
250-2,12062162.335010381,44269817.039858565,987.155969052142
283819,3016071.614479063,22241970.4495392,296.8072259941584
300953,2431450.9615074713,15356709.280993868,236.29394478703742
302981,3537761.666187386,18469126.642965846,413.2883334726083
303924,2033064.4007889375,27393163.692968894,73.92107629048807
304-4,2809588.5867430824,30969374.610578813,241.08335425865178
304437,1371569.2184101045,21122690.172411706,147.35997919078042
305-7,9146981.657655524,39417475.22425983,742.155010463718
306-10,2591688.2005363908,15690878.251321716,312.70296172505135
306443,5412148.042871136,24363559.07792409,558.4183208477556
308-5,17545773.027230524,80503825.30056286,946.5549242258104
309-7,5139578.705566753,24000008.13939146,548.0930532451513
311-5,6376328.239241389,49640412.505672336,382.44806481710714
