,far_STR,around_STR,inside_STR
210-2,6.630406630406631,7.536907536907537,6.19010619010619
211-2,1.1591323066732904,3.278688524590164,11.756913396257659
212-2,58.0290537887711,95.52414605418139,22.85041224970554
213-2,21.93825910931174,88.66396761133603,35.95647773279352
214-2,27.851458885941643,47.92219274977896,53.13881520778072
215-2,1.906288972029218,59.967931587386424,47.55032959201853
216-1,37.83231083844581,55.21472392638037,3.2719836400818
217-1,409.0664272890485,217.3249551166966,11.310592459605028
218-2,114.11411411411412,171.021021021021,27.177177177177175
219-5,3.036506311838963,11.32719208461276,27.533265097236438
220-2,304.91803278688525,213.27868852459017,24.91803278688525
221-2,1.3452099618251228,3.326667878567533,6.526086166151608
222-2,94.96910856134157,21.535745807590466,0.529567519858782
223-2,10.47973917093619,52.21238938053098,27.852817885421516
224-2,8.137793310034947,38.2259943418206,58.94491595939424
225-2,0.6726013847675569,2.057368941641939,10.06923837784372
226-5,176.8348623853211,12.041284403669724,1.3761467889908259
227-2,434.9282296650718,536.8421052631579,4.784688995215311
229-5,24.297520661157023,27.31404958677686,9.297520661157025
230-2,1.6150152771715407,8.540666375672924,20.005819874872692
231-2,19.20815366522932,32.065856526852215,31.477851822814586
232-2,1.1204481792717087,4.558186911128088,3.055767761650115
234-2,10.053722179585572,43.898695318495776,47.92785878741366
235-2,10.593971631205672,15.957446808510639,6.6046099290780145
236-2,15.405510283275126,18.587504850601473,6.286379511059372
237-2,0.16162922256343948,3.0790366898335217,22.102796185550346
238-2,0.25486250838363517,10.90543259557344,24.627766599597585
239-2,5.525709900230238,84.26707597851113,55.48733691481197
240-2,23.89514731369151,7.5606585788561524,8.968804159445408
241-2,7.509386733416772,44.36795994993742,12.015018773466833
242-2,301.2544802867383,88.70967741935483,3.046594982078853
244-2,9.047127622979016,13.415892672858618,45.83763329893361
245-2,2.6113878045497376,4.6708843720554585,12.289675595638712
246-2,8.764186633039092,36.995586380832286,54.9968474148802
248-2,78.53285328532853,152.43024302430243,26.5976597659766
249-5,50.82212257100149,14.824584542337114,8.924646091620504
250-2,5.662393162393163,73.0591168091168,64.15598290598291
283819,0.7009857612267251,5.147864184008762,5.213581599123768
300953,3.766478342749529,7.1563088512241055,2.212806026365348
302981,16.73390350169437,13.42585121833145,8.891399064063256
303924,6.416131989000917,0.7943782462572564,0.030553009471432937
304-4,2.7679205110007095,31.61816891412349,2.9453513129879347
304437,7.142857142857142,8.803986710963455,6.430944470811581
305-7,21.11111111111111,23.246187363834423,24.40087145969499
306-10,4.403021050940061,6.138518399485778,16.76040494938133
306443,6.994818652849741,22.927461139896373,30.20725388601036
308-5,7.6923076923076925,21.571194762684122,21.751227495908346
309-7,5.47945205479452,24.524966858152894,14.935925762262483
311-5,12.77467411545624,26.145251396648046,13.631284916201118
312-7,41.25560538116592,11.491031390134529,6.446188340807176
313-6,12.84440039643211,48.5232903865213,36.35282457879088
315-7,13.678905687544995,28.9056875449964,22.102231821454282
316-7,6.609469335875437,25.707022561169367,13.536701620591037
317-4,40.84047327621379,48.34761321909425,14.830681354549164
318-4,75.1984126984127,16.26984126984127,0.0
318349,15.454545454545453,79.54545454545455,0.0
320-7,8.728179551122196,4.7608252097030155,3.695307186579007
321-9,1.7822966507177032,7.344497607655502,12.177033492822966
322-4,24.396209110363802,6.23662488535616,0.0
323-9,0.6913134956417193,41.28343853321311,40.68229636308987
324-9,8.252674477840042,11.64034640855833,4.0753948038716254
325578,7.8388278388278385,71.0989010989011,39.89010989010989
327-9,98.82352941176471,16.470588235294116,0.0
329-8,7.038123167155426,97.12609970674487,16.656891495601172
334-8,68.10730253353205,168.85245901639345,23.248882265275707
338-8,5.219666712574026,16.55419363724005,18.923013359041455
343219,16.545814106789717,26.23599208965063,19.44627554383652
344979,0.2350044762757386,4.397940913160251,15.745299910474486
347456,30.687830687830687,8.85547201336675,2.1164021164021163
351691,3.4890597279716142,45.41691306918983,34.062684801892374
355632,55.213903743315505,28.119429590017823,2.228163992869875
356560,7.3949310234199555,18.768046198267566,54.074430542188004
367578,3.5637149028077757,8.26133909287257,7.073434125269978
372933,2.270081490104773,8.80384167636787,30.165890570430733
377316,3.931402685649571,31.936579841449603,36.12684031710079
383452,21.094017094017094,29.333333333333332,20.99145299145299
387936,243.05555555555554,17.5,0.0
392543,16.523313716613853,6.337709370755998,2.897238569488456
399566,17.79118668860852,37.73998902907296,9.398427500457123
399894,11.87141523275977,14.965986394557824,29.078297985861013
401756,50.12442232492001,151.83078563810878,33.274084607180946
402791,0.69847127042699,2.3589878755930416,5.429625724828677
406103,4.365310642265998,41.012938570929016,88.52430353188018
407763,0.013290802764486976,29.385964912280706,41.547049441786285
410311,3.282486966595868,12.039003668661904,30.353350067580614
412413,3.8748137108792844,22.205663189269746,1.564828614008942
412900,43.53172651254304,44.46630595179538,3.2956222331529763
417798,128.5012285012285,40.54054054054054,0.2457002457002457
418077,436.15221987315016,709.9365750528541,49.89429175475687
