,Entropy of slide
210-2,1.9757361327978542
211-2,1.888987245778229
212-2,1.703331651454223
213-2,1.6402861859564912
214-2,1.8432430944905585
215-2,1.7507591338554815
216-1,1.9331769057668577
217-1,1.7836951531004985
218-2,1.599772567328519
219-5,1.5342507145506894
220-2,1.7333117136343195
221-2,1.9071841130877174
222-2,1.5989211031051682
223-2,1.4831123118061396
224-2,1.6146798975380154
225-2,1.9911539515192918
226-5,1.8949507096109535
227-2,1.5789494167828981
229-5,1.7279499078472393
230-2,1.9175886480728328
231-2,1.5303074324341246
232-2,1.7343792131588158
234-2,1.9154641785291453
235-2,1.9229400438886515
236-2,1.9182509726241095
237-2,1.4339212538652057
238-2,1.9841243778736384
239-2,1.3248055912790404
240-2,1.8056229003287168
241-2,1.9078360785098052
242-2,1.4162743633388517
244-2,1.8081525153576683
245-2,1.6202559032199
246-2,1.8129014150484264
248-2,1.8507518472354818
249-5,1.5677314270618343
250-2,1.5144001375831715
283819,1.7278860250648085
300953,1.6047041336209953
302981,1.236632017563701
303924,1.301110029927667
304-4,1.8153319052002252
304437,1.867778769860804
305-7,1.8900085021309665
306-10,1.6892318452979374
306443,1.9003147723296219
308-5,1.8006864970014391
309-7,1.8152237194205356
311-5,1.711868262267541
312-7,1.7614675212843778
313-6,1.5910285433488907
315-7,1.4657451362716627
316-7,1.8522827375528976
317-4,1.7406713390815531
318-4,1.542387252041125
318349,1.8665756162111442
320-7,1.7174748142633491
321-9,1.4471466702850746
322-4,1.98884977544315
323-9,1.3746172323706418
324-9,1.8830505439056882
325578,1.4448896527892665
327-9,1.5181186367219028
329-8,1.9536867024012383
334-8,1.727957177135061
338-8,1.7885238275954367
343219,1.3769177335725118
344979,1.6008091719818962
347456,1.6977880355359645
351691,1.5508136072433703
355632,1.5023554567677546
356560,1.4180710145364686
367578,1.9727799585005632
372933,1.361838284519781
377316,1.798522343739646
383452,1.7819428083016304
387936,1.4452574200027881
392543,1.4547699212821077
399566,1.7010878816824857
399894,1.856926396421047
401756,1.5194913986493628
402791,1.9523525619940085
406103,0.6081058825873715
407763,1.0486024327508416
410311,1.2276699825566362
412413,1.7498423875205829
412900,1.4204225141479256
417798,1.9125411708998314
418077,1.0470739391676016
418903,1.6375011858627524
419183,1.8359636329919915
419284,1.9300607429646093
421045,1.7592802133964431
422085,1.6275903260717264
486394,1.9402159616860426
486492,1.629663638199082
487777,1.9218711663571295
488510,1.4000639753618556
488697,1.7585966236200712
489618,1.4470507606087721
490172,1.841391942375125
506951,1.519873295903113
507867,1.6921583003678513
509223,1.5738826487881936
510773,1.73348376143666
513202,1.8698616805211756
514134,1.6238700143315001
514719,1.9399044408941053
516485,1.832115356852721
517303,1.869287039220321
517455,1.2595800837897195
518298,1.1780720894726096
518917,1.4951086536489493
521002,1.9428925807591146
523231,1.688921713167604
523564,1.920853134905893
523671,1.6428680229460282
524229,1.949410177209756
525077,1.909217936465095
525536,1.9009969980519106
525759,1.949774319335703
526451,1.8416980901456395
527272,0.5838427271637808
528577,1.6252872143152646
528973,1.8719021610695121
529152,1.303530464210665
529482,1.9316160986882374
530350,1.4437065298079217
530416,1.8150370318145839
530955,1.373677740356294
531190,1.7297215340822263
531253,1.4239727778418703
531682,1.8318996011957442
532255,1.6748387859352662
547362,1.6866448997309498
547404,1.5549040993127772
548299,1.4359968771055835
548657,1.8426883913570842
548789,1.803544336396609
548907,1.9294002033724897
550057,1.0490271089831593
550399,1.7995684035153794
550861,1.5590270286321843
553524,1.4459894723485456
564099,1.8421605818451674
564544,1.396407120648081
564679,1.8535833197988498
565528,1.2978175687431717
565711,1.6749389740196818
566401,1.870525326453578
567075,1.7920385257124292
568135,1.826146946705892
568405,1.7639831344684713
570876,1.4058247317352606
571480,1.6914169600895979
571609,1.60521000580702
572248,1.732667329481742
573446,1.488612565590821
573564,1.8884867371555443
579086,1.4903301128307402
580160,1.917484146070019
581161,1.9081804774134417
582956,1.6593432056632194
587128-9B,1.4570914524367313
587615,1.7328546023624012
587672,1.2877921318500656
588904,1.842626463244981
589145,1.732357785972982
589200,1.4597129618865785
589544,1.2535791549257644
590294-7A,1.8805186299296457
591542-C,1.6612571368263789
592012,1.6670195362598763
593238,1.5806458306957176
594246,1.3616557777647371
595265,1.5554604611799987
596454,1.7036333260107608
596673,1.7170121944993504
598094,1.5510019276313527
598473,1.8467224190226934
598485,1.8753521611052522
598522,1.3019746403801287
599623,1.266636591006974
600079-16A,1.7859555521032566
602296,1.5015809300698382
602759,0.975292982572402
603680-2A,1.43565927510734
603749,1.5655509022345164
604532-A,1.875523575245321
605352,1.3790085431596517
605996,1.8063034360162251
606477,1.8478003190979724
606614-1A,1.7248135638119853
606629,1.715370071249394
607326,1.7361216299097
607334,1.5123827606848814
607341,1.603960918689134
607653-1E,1.6405449140400163
608137,0.9171806055169104
608408,1.198267793499235
610592-7A,1.9304984390455904
610780-1C,1.6676441588815316
611170-1F,1.6299764873971376
616125-9A,1.8158572167350029
620243-7A,1.9783913419001096
624584-1E,1.697340746112386
625144-11A,1.803393195778801
625670-7B,1.8253138354224325
625852-7A,1.5863706570820073
628188,1.2376513822521884
629535-7A,1.5470440925850162
630657-5A,1.4985483415242782
631148,1.7867618238452587
633785-C,1.9147914077335795
635428,1.324435349951941
637800,1.8471946161677242
641101-7A,1.913613748126615
645136-1C,1.853992089627234
646462-A,1.4884802168689468
646535-B,1.7541339196171502
647358-7B,1.621419454458817
651648-8C,1.5433853125718517
652436-A,1.6856682501628217
658302-1C,1.7231852295468957
659951-7A,1.7319522451338565
659966-2A,1.6282181627304273
660488,1.8481712719103798
666526-8A,1.579821774327632
669698-7B,1.9801839480194836
712280-8A,1.891213789418351
714342-1B,1.7322284181439815
717810-3A,1.3782513523328583
718715-1B,1.5955037204830347
718744-A,1.9573354605191908
719181-7C,1.6782105205094329
720062-1D,1.9593942944918363
721680-1C,1.8136576840991685
722759-1A,1.8533070281823254
722945-1P,1.5583280373622899
725169-1A,1.8416982353639608
725447-7D,1.5081004413183914
725602-1D,1.7341497642851758
726240-1A,1.9089221534971241
726260-A,1.9140708308563876
727328-1B,1.5990558334872496
727329-1B,1.859993106504965
728293-B,1.0881226735141967
734264-1C,1.9605191045847075
734474-8A,1.752369807984751
734678-3H,1.3814798986977816
735718-1D,1.680007800077771
736428-9A,1.3769650366983401
738395-1A,1.5638557626850247
738835-10C,1.545888438899548
739073-1C,1.3612958063460123
742284-1A,1.7249032354289315
