,Entropy of slide
2020-06-29/744897_6A,1.8407626962647021
2020-06-29/745559_1A,1.350551360780396
"2020-06-29/746472_1A,1B",1.8643439568185716
"2020-06-30/743303_7A,7B",1.8870543725896958
"2020-06-30/744172_7A,7B",1.5739493721963955
"2020-06-30/744646_8B,8C",1.6305034673887433
"2020-07-01/739321_7A,7B",1.5661837254403217
"2020-07-01/739323_7B,7C",1.1482039263197732
"2020-07-01/741893_1A,1B",1.226855242780961
"2020-07-01/742282_1A,1B",1.298640663255385
"2020-07-06/736058_1A,1B",1.2354453064561484
"2020-07-06/736463_1A,1B",1.7941352712310672
"2020-07-06/737435_1A,1B",1.438701268920057
"2020-07-06/738595_A,B",1.975167943541712
"2020-07-06/739100_BD1,BD2",1.6041549702114715
"2020-07-07/734057_7B,7C",1.8889904764052607
"2020-07-07/734098_A,B",1.5932517845368062
"2020-07-08/624436_13A,13B",1.816630623789715
"2020-07-08/625482_7A,7B",1.6965090494158834
"2020-07-08/627381_1A,1B",1.7718628816160282
"2020-07-08/635605_7A,7B",1.67058532227552
"2020-07-08/637613_BD,1A",1.2004807533343704
"2020-07-08/646409_7A,7B",1.760012855753333
2020-07-08/646591_10,1.7466238968823133
"2020-07-08/647319_1A,1B",0.9325799950268678
"2020-07-09/620114_A,B",1.8365170156268802
"2020-07-09/622803_10B,10C",1.949482668082367
"2020-07-09/623580_1A,1B",1.442608484566323
"2020-07-10/591533_7A,7B",1.4882822295083786
"2020-07-10/595955_7A,7B",1.49025132637144
"2020-07-10/612788_1A,1B",1.9254563949828436
"2020-07-13/562793_1A,1B",1.3203318880518566
"2020-07-13/576903_1A,1B",1.6805939423150364
"2020-07-13/578325_10B,10C",1.3463745861496468
"2020-07-13/581520_7A,7B",1.9222018633221039
"2020-07-13/581654_1A,1B",1.8931038817197925
"2020-07-13/584570_7B,7C",1.8582989386767712
"2020-07-16/730297_1A,1B",1.9386314219656984
"2020-07-16/730532_7B,7C",1.8421821923935888
"2020-07-16/730748_A,B",1.4248009359635234
"2020-07-16/731413_1A,1B",1.1743594537324666
"2020-07-16/732102_A,B",1.9626267294398583
"2020-07-16/733216_A,B",0.9609476580095211
"2020-07-20/725785_7A,7B",1.63931738657471
"2020-07-20/728718_1A,1B",1.5255913277648094
"2020-07-20/728955_1B,1C",1.941062398367269
"2020-07-21/719383_8A,8B",1.6946121842665725
"2020-07-21/720060_A,B",1.8912073155818114
"2020-07-21/720324_1A,1B",1.9183074312677664
"2020-07-21/720519_7B,7C",1.712252125224076
"2020-07-21/720520_7B,7C",1.8452400412857743
"2020-07-21/720976_1A,1B",1.63182105078244
"2020-07-21/722547_7B,8A",1.6735663217891457
"2020-07-21/722733_4A,4B",1.1462650251236346
"2020-07-21/722815_1A,1B",1.7915915146207353
"2020-07-21/723590_2A,2B",1.5706492655491688
"2020-07-22/705909_8B,8C",0.3032663290025951
"2020-07-22/707707_A,B",1.635280578367463
"2020-07-22/708683_9B,9C",1.9276222497646818
"2020-07-23/710294_1A,1B",1.6174922445911004
"2020-07-23/711378_5A,5B",1.812998164738733
"2020-07-23/713670_A,B",1.9250632492685666
"2020-07-23/713710_A,B",1.4114366874689754
"2020-07-23/714977_10A,10B",1.3354692587471406
"2020-07-23/715266_1A,1B",1.8946490457839327
"2020-07-23/715478_A,B",1.3986973034547912
"2020-07-23/716838_A,B",1.287852845620931
"2020-07-23/717298_4B,4C",1.6415516260956207
"2020-07-23/717577_B,C",1.6798178114846765
"2020-07-23/717996_10B,11A",1.5821152450244096
"2020-07-23/718731_6B,6C",0.6923025968141951
"2020-07-23/718805_A,B",1.5987769005831656
"2020-07-24/670525_1A,1B",1.3666682667065204
"2020-07-24/670743_1A,1B",0.0
"2020-07-24/699651_3A,3B",1.3138150103947344
"2020-07-24/700047_1A,1B",1.9218593202702643
"2020-07-25/653549_1A,1B",1.8463708393758116
"2020-07-25/654082_7B,7C",1.5698950295409506
"2020-07-25/656650_A,B",1.8840620375642874
"2020-07-25/662814_1A,1B",1.9439836446174186
"2020-07-25/666806_10A,10B",1.8046265346572017
"2020-07-25/667014_7B,7C",1.7559388624181915
"2020-07-25/674856_2A,2B",1.8705941475834704
"2020-07-25/675056_10B,10C",1.8685058497553009
"2020-07-25/676429_1A,1B",1.7974268833372082
"2020-07-25/677429_7B,7C",1.7178200233945307
"2020-07-25/679441_7A,7B",1.9589121937633063
"2020-07-25/679616_8B,8C",1.9262298910120712
"2020-07-25/681207_2A,2B",1.819343845062226
"2020-07-25/684294_7B,7C",1.404819709397825
"2020-07-25/692334_11B,11C",1.774432446781635
"2020-07-25/692717_10A,10B",0.7527472062750306
"2020-07-25/696917_8B,8C",1.972511980343196
"2020-07-27/490791_1,2",1.8604110474840598
2020-07-27/493847_10B,1.7371022064583903
"2020-07-27/500707_2,3",0.0
"2020-07-27/506864_1A,1B",1.5247880129873623
"2020-07-27/509615_3F,3G",0.9216538513426705
"2020-07-27/525188_7B,7C",1.7039639161248514
"2020-07-27/531267_9B,9C",
"2020-07-27/532492_1A,1B",1.8632275577733548
"2020-07-28/434149_2D,3A",1.556445811502925
"2020-07-28/464861_8A,8B",1.71121287941124
"2020-07-28/466621_A,B",1.9064372039693407
"2020-07-28/482040_7B,7C",0.0
"2020-07-28/483718_7A,7B",1.2695773238176646
"2020-07-28/485580_1A,1B",1.8742023169667386
"2020-07-28/485778_1A,1B",1.7150269975072838
"2020-07-28/486420_6B,6C",1.4930561742935742
other/336647_7B,1.7264387111460175
"other/339345_6,7A",0.6093334937783744
"other/363202_1A,1B",1.8243855401278601
"other/371327_A,B",1.8243654912415268
