,STR,LYM
"748246_1C,1D",0.1567434210526319,0.17346938775510204
"748742_2B,2C",0.27,0.14271284271284282
749566_S2B,0.07438969764837625,0.05033152501506925
749667_5J,0.14432989690721648,0.13
749885_A,0.1958762886597938,0.16161616161616163
752970_1C,0.1717171717171717,0.08
753138_4B,0.22097919216646267,0.14484848484848464
753520_1G,0.17,0.3
753598_B,0.11458333333333331,0.07
753834_9B,0.31,0.20202020202020202
754206_13,0.08205128205128204,0.0
754310_7C,0.17094871794871802,0.18181818181818182
754972_B,0.17982022471910114,0.10638297872340427
755375_3B,0.216848484848485,0.21771428571428586
757568_D,0.20408163265306123,0.0535918554106612
760098_9D,0.24242424242424243,0.061855670103092786
762106_7B,0.030612244897959183,0.16833642547928257
764430_7B,0.26,0.12
765407_H,0.27028248587570625,0.11254480286738353
765680_7C,0.22867132867132867,0.22533333333333333
767626_1F,0.2828282828282828,0.09278350515463918
767867_A,0.23469387755102042,0.11247633073848129
768370_7B,0.14285714285714285,0.04
"768610_7B,7C",0.16940845070422544,0.08368421052631586
"769150_8C,8D",0.16427519461392787,0.09
"769151_8B,8C",0.17,0.10996703296703295
"769292_12A,12B",0.28,0.11000000000000001
"769293_1A,1B",0.26,0.05
"769404_8B,9",0.2152777777777778,0.1125
771609_7G,0.041331901181525244,0.07233082706766916
"771986_A,B",0.1502150537634409,0.043669374104156757
"772291_7B,7C",0.1836734693877551,0.03
772517_2A,0.25725781961737026,0.09090909090909091
772529_1A,0.18181818181818182,0.1978021978021978
772734_2B,0.19292227529309594,0.1533895657606998
773502_5C,0.1560000000000005,0.14362519201228885
773580_3B,0.22,0.052083333333333336
774990_2A,0.1919191919191919,0.15
775603_1B,0.27,0.12121212121212122
775663_2A,0.0519931812221348,0.05730706075533662
776614_2B,0.2391304347826087,0.10979630125971593
777303_3D,0.34782608695652173,0.061855670103092786
779162_2E,0.18369692704668072,0.08080808080808081
"781978_8B,8C",0.29728614850195406,0.07225189417463669
