,far_STR,around_STR,inside_STR
"748246_1C,1D",13.157495831438531,4.198878278005154,9.148097620130361
"748742_2B,2C",16.169366297243535,12.333049161693662,18.854788292128447
749566_S2B,16.156953260242354,20.830929024812463,8.886324293133296
749667_5J,1.222016841240501,5.678784144588212,18.80262887656603
749885_A,3.5502958579881656,26.07248520710059,4.844674556213017
752970_1C,10.424380518370835,20.99117060666477,35.53118769581316
753138_4B,12.670299727520437,26.47593097184378,21.480472297910993
753520_1G,0.775,21.0625,35.05
753598_B,0.6555269922879178,5.70694087403599,18.239074550128535
753834_9B,25.10504201680672,57.45798319327731,56.30252100840336
754206_13,1049.3273542600896,282.51121076233187,4.932735426008969
754310_7C,112.87671232876713,392.73972602739724,79.04109589041096
754972_B,26.51741293532338,12.786069651741293,17.91044776119403
755375_3B,0.5476951163852123,29.256047466910083,217.3893199452305
757568_D,58.69030034465781,14.869522402757262,2.9049729197439684
760098_9D,0.8369122343354256,10.945931064860698,15.659068384539149
762106_7B,20.014295925661184,46.39027877055039,98.28448892065761
764430_7B,10.220385674931128,81.51515151515152,168.07162534435264
765407_H,104.31372549019609,154.31372549019608,25.098039215686274
765680_7C,3.7257824143070044,161.54992548435172,38.74813710879285
767626_1F,0.21102611448166714,8.889475072540227,20.53547876549723
767867_A,0.711918497606481,5.867190376825826,14.753897140051553
768370_7B,1.9859813084112148,16.160436137071652,33.508566978193144
"768610_7B,7C",41.49823548283606,33.38145652871351,18.479307025986525
"769150_8C,8D",6.839256043308143,1.3078201211341587,11.164710296403495
"769151_8B,8C",27.458455522971654,7.155425219941349,22.19941348973607
"769292_12A,12B",44.3237370994025,19.106463878326995,102.5122216186855
"769293_1A,1B",25.384322195400838,33.4646169482912,28.16668784144327
"769404_8B,9",91.63461538461539,82.78846153846153,117.11538461538463
771609_7G,355.65749235474004,124.46483180428135,19.26605504587156
"771986_A,B",9.804960780156879,4.610981556073776,16.06953572185711
"772291_7B,7C",19.672604718343763,2.272508425613866,9.764082811747713
772517_2A,8.867724867724867,28.6984126984127,3.5132275132275135
772529_1A,0.549645390070922,18.439716312056735,54.734042553191486
772734_2B,6.985294117647059,133.91544117647058,13.051470588235295
773502_5C,7.117008443908324,74.4270205066345,90.59107358262968
773580_3B,3.8832487309644668,17.081218274111677,35.71065989847716
774990_2A,30.513918629550325,85.97430406852249,110.59957173447536
775603_1B,322.8571428571429,48.0,14.571428571428571
775663_2A,29.848229342327148,153.45699831365934,107.41989881956155
776614_2B,0.26033843997196354,6.878942625413037,31.891458896565535
777303_3D,5.520724486241728,7.2448624172762095,60.88470916057123
779162_2E,1.7239240977303734,4.774897680763983,15.862582165447103
"781978_8B,8C",121.37672676188247,57.15289159447436,70.99040037461953
