,Extra_disp,Intra_disp,CH_score
"748246_1C,1D",12477291.348216724,458430812.71327865,176.73885971852184
"748742_2B,2C",35685553.71846644,263838306.3789364,734.1392200831523
749566_S2B,10286943.912088359,60085472.376994565,615.4826100379814
749667_5J,8064923.980616213,81358957.54552335,443.9531875685297
749885_A,9836344.443684652,39283704.834758274,815.3280071788588
752970_1C,4781031.372083909,44377630.94348196,324.4767685949957
753138_4B,2745384.259086048,31314450.600284263,233.80230538242978
753520_1G,8746672.229210954,52569483.26626403,613.8537135509538
753598_B,2492713.9380875425,30299943.507743638,222.6993139006505
753834_9B,872197.5505400152,10768096.930787785,109.21810833496241
754206_13,1596333.4565099494,94023209.09257473,61.37575499685001
754310_7C,1123171.6058878258,54886676.57585177,61.521362315946654
754972_B,6433589.1383409165,24529755.74365167,650.4467973438636
755375_3B,3500881.906756748,74290755.39820503,193.50080919855455
757568_D,14127453.580834655,25059947.400101904,1424.6997457520665
760098_9D,2465439.608665473,32968257.151695963,200.19201506555686
762106_7B,8029382.597956412,69861029.80319454,463.20556449633386
764430_7B,7565851.287248155,81009355.57633395,406.82768024488485
765407_H,229706.0402536761,3536097.4761213795,28.881360365892466
765680_7C,1516498.1512969055,31459930.656398565,117.2034879966705
767626_1F,7896066.740219819,27305455.58232108,844.5657481143443
767867_A,4191446.878123078,76464457.7738397,241.50667111579966
768370_7B,2970271.9567292593,52553359.135660075,187.37233457389272
"768610_7B,7C",48250654.13788492,351279977.43373305,766.6151451093298
"769150_8C,8D",98995446.41369678,441072281.7533792,1808.9631382713847
"769151_8B,8C",34244587.2710284,381381965.56696266,605.2258283857219
"769292_12A,12B",20930521.80762938,532462139.37634975,346.8935257336944
"769293_1A,1B",54039979.39410011,170952823.96423805,1321.974031112835
"769404_8B,9",26478150.955731176,134185238.67650053,550.26150777405
771609_7G,2808486.1225343994,51527772.69819389,171.16536107364428
"771986_A,B",73723515.08726448,266089860.41875914,1448.5380276146095
"772291_7B,7C",5918947.0050703725,243392797.85738596,108.63558944148926
772517_2A,20616462.03687361,73678246.81902826,1281.6760277377803
772529_1A,26322362.49514789,76859314.79015805,1652.9878670652608
772734_2B,2406615.2816944546,50879200.89100099,137.76764467035963
773502_5C,297090.26849135995,32231750.07330394,25.187241332945497
773580_3B,5282194.793134268,12041213.942827249,838.4858184179254
774990_2A,2337272.2612906336,29750304.62634883,178.76217975363295
775603_1B,687743.7615512045,16641228.490744688,81.8536501007661
775663_2A,7059936.67391908,28268498.79898917,667.120775583845
776614_2B,12071575.881717943,59569428.44164184,821.9774366207562
777303_3D,4876181.405098717,32616135.40698888,425.7820391175285
779162_2E,10262890.993207572,50515799.37011075,766.2864436642776
"781978_8B,8C",25382329.693107225,387955917.31079113,406.0718252868812
