,Extra_disp,Intra_disp,CH_score
1026760,4857971.172099626,38416448.59205194,386.32154909381353
1026761,3636201.880733287,35828046.569723435,233.2045836015403
1026762,6196677.010385454,100090734.87140876,304.95921182886457
1026763,15432685.028023561,79929130.96295369,885.694763694621
1026764,2540594.027764859,38419055.71124672,183.77106548955916
1026765,3735158.5290235598,44250080.78393364,232.9890564980418
1026766,11702667.379583951,70007140.28068341,665.0449042236223
1026768,7280727.704955981,112635872.15891121,330.876729249707
1026769,2499977.0173554514,21896560.948351253,240.90319566905282
1026770,3921161.832807897,147281381.25738817,147.96869127873225
1026771,16347622.097645717,42282166.713224605,1334.0336995567145
1026772,1858153.623181072,35943885.06167783,144.2937619047936
1026773,7868988.0235100165,31370695.32315757,728.3355816534038
1026774,858682.1399510156,59045371.05851591,52.345178616570294
1026775,4511268.326432208,43289477.50715035,334.3943757109249
1026776,1939005.2959329316,9536853.873536669,282.65140665370365
1026777,10097031.378892403,27203095.698477454,1034.827940039471
1026778,3255975.5742023294,57453634.93324295,203.92621841634872
1026779,11371179.332441133,104206868.86411887,554.3575569859428
1026780,11461558.852119558,42010271.81302219,906.1693706925646
1026781,2512281.4095384935,63025213.29749163,138.86959704900417
1026782,3626357.4350592447,50482459.34025834,241.93694207642451
1026783,6144374.403023198,55632422.18399306,385.7213531733019
1026784,9737537.303150788,94785832.49949412,507.9275105221561
1026785,5224825.374940016,51929115.70030651,359.03301291583335
1026786,18507682.50511295,103338462.70954394,944.0956929238508
1026787,2480244.8066044063,87958578.27764043,126.28699335948926
1026796,5510778.081928743,67054437.21695267,324.6418355403239
1026797,4356065.598892599,99016364.00552224,211.2034706303422
1026798,2626644.899031157,56320054.11816082,169.22068880916547
1026799,1337831.518772657,33864860.70287726,95.05694497651555
1026800,942674.853127383,13943194.88149234,107.83514133722336
1026801,18186654.064314604,118715539.63094792,871.619564599524
1026802,5477876.369397226,61278209.46574618,320.9049474896029
1026803,472973.4863495333,41194725.97074443,28.163895612252794
1026804,9741491.602356639,92564610.16012748,513.6760196888326
1026805,1796043.6058985558,15920333.619629594,203.85570261273202
1026806,574437.3482309446,11595010.71822833,70.01242864258514
1026807,2905827.8045406896,42889099.900802135,211.1833843028245
1026808,19601595.249563012,121558215.6765664,897.8552518405124
1026809,2105212.1776717626,54877909.07714863,136.43737082951603
1026810,101319.03368678737,19923721.565206844,10.473780267323306
1026811,1322518.9659960323,31144944.908815432,112.56187112631562
1026812,9254511.346935246,79685169.68614389,478.04904923078504
1026813,9177056.425823325,56029881.9089091,624.1656315532368
1026814,13865912.427178612,127827917.26345737,610.812994132726
1026815,1024617.6633157112,39423039.58020941,74.22837197714948
1026816,8992762.122953834,67627855.17553899,515.0889861737559
1026817,898408.8281561878,25087859.508638047,83.42414407064236
1026818,4864284.084168637,66191237.743013896,279.88768596369084
1026819,18627214.815730315,68122528.27774867,1141.0522978406914
1026821,3928427.0506732226,79422512.49011256,214.71622204215026
1026822,5555146.5427155625,113360550.02202,248.4612503680101
1026823,170076.190936218,14383425.010949872,19.044470486920755
1026825,674603.7991442995,23163956.31956137,65.666530592878
1026827,13730971.755822474,115907256.85993965,564.7471118521559
1026828,3365655.145684641,35181108.037958264,255.35314877429903
1026829,14761401.280300498,72356726.98162946,886.4177698251834
1026831,6282561.985938969,55947796.56081589,417.52890036921974
1026832,7918227.624929227,85844910.2725163,392.7526177139351
1026833,7481196.225375977,77721939.66707127,415.86404444571843
1026834,10889600.82966905,76155804.4876158,625.9005609924145
1026835,5206259.770533311,85803114.99228464,242.2946593205038
1026836,2424138.0427842373,56718489.40315091,149.67485056749038
1026837,31953946.720152568,148828441.3398918,1394.282760287501
1026838,12412816.82195138,76889324.44242834,748.0688770080932
1026839,3181005.6171627105,76204079.74394311,175.70566941759455
1026848,4685584.020773369,92168404.33271794,226.0730484728868
1026849,8908603.576654045,69274799.6045642,541.5777933228258
1026850,239132.02481880342,12876392.18388559,25.836466315794475
1026851,6189432.690546268,34422239.05184751,536.4065822280264
1026852,8393053.813774602,79247099.95413968,456.57765409864976
1026853,8651492.322637925,48871293.48959661,641.6486414321885
1026854,3699923.7620300744,61725497.13610758,222.01162024810472
1026855,281852.13487442053,8264172.713979302,33.58008376663381
1026856,3519966.872634147,19525345.089765944,320.06344353679117
1026857,1310522.9694211718,26197617.705542367,102.8403861304559
1026858,2051263.8906450453,38044124.809372865,120.32345391832244
1026861,12984895.294900242,479054787.62154657,228.02554734965898
1026863,649495.0933751463,56163373.819708854,39.68898249629865
1026864,435470.4049878168,12619507.162142638,57.993672274144934
1026865,3088743.1360303736,40217876.79038034,211.13925714760236
1026866,7939485.544524098,138166563.4779159,295.4410238707337
1026867,61802.18611984932,3032162.0901147183,13.183218045182466
1026868,1685420.7702312204,106238551.9128197,73.57000014725462
1026869,131052.52230864685,25872424.01621513,11.262268194059677
1026872,2215935.468163207,101580681.52968974,91.41599596543975
1026873,2283332.332663052,65321342.01207712,137.85702767545143
1026874,4788337.078842264,56191488.419797406,269.2611982208165
1026877,1196448.6340509409,20380586.164433517,91.34546276358337
1026882,9480878.055586603,122766919.76182048,416.7613442940711
1026909,2198932.5774829816,57725634.89065442,127.03957539483038
1026926,7146569.710586434,34072588.005390875,509.89114662164377
1026941,4335654.173909016,32863601.559182853,378.66192442551875
1026947,373381.48654247914,31016843.580071002,30.164878852447128
1026948,12094484.79337687,49100020.91457445,886.320909297434
1026949,7818545.886464216,180157452.85760933,287.00232400172536
1026950,3431304.4632232767,44702844.766253054,244.689402320111
1026951,6662446.150583579,42497419.62555969,490.04090980076495
1026952,26052683.766703278,84532635.20334394,1514.2322911696363
1026953,531057.0519522026,53305106.13236626,29.618787579812146
1026954,3719713.56879572,39557591.053798996,280.387193051026
1026955,4450641.908867783,77121524.59413607,245.8423200469037
1026957,280775.8346222087,15582343.835852904,31.83569492730075
1026958,4215381.834371269,19138418.86963473,469.280800963201
1026959,2831729.025764291,68411759.1474272,155.58586995409996
1026960,23290136.99295982,93002912.3954153,1310.3171681747287
1026961,1301521.46788927,88102637.53667323,65.38730828317738
1026963,8309066.125740406,55815167.1840915,492.2156041839913
1027010,1811234.1476999167,62104865.331126004,105.88327760761756
1027011,631066.8373964197,19142553.6106704,48.90280396404566
1027012,3919359.6248774533,31471148.82518033,301.5816588179112
1027013,18175263.063162036,51478668.110893704,1268.982530023792
1027014,2763534.5455238554,39224194.13145055,219.55139019303462
1027015,717650.4775438915,37109625.629040666,48.965490175118966
1027016,2033340.962841188,47941880.826735705,142.6930320090382
1027017,1931941.1430959608,61788509.89318803,95.61447631283258
1027018,1827565.4852977516,22992456.677239526,138.49542683862157
1027019,2916767.2826867164,18930295.061847925,326.27840071365756
1027020,10144663.610734254,68907192.42944343,602.9629537825998
1027021,3615976.169727057,50583712.5157542,220.7885392820988
1027022,2329997.1431311048,25233207.587143343,215.2226316236158
1027023,3157301.7221433385,62719961.13570611,195.3480971781776
1027024,6233712.391477246,43870179.68052085,477.43760768464847
1027025,981829.3213201062,31481661.45135298,67.98216663122108
1027026,6000482.283717873,46637095.00056473,413.2407689332214
1027027,1904950.087540043,51865029.24062055,119.24433562959861
1027028,3502241.5692608203,32969364.52431409,291.8484667877401
1027029,3022746.9751093676,27598327.708167806,246.91643829817247
1027030,1366425.1261619735,51761741.937039986,79.41154819558045
1027031,3886927.4977583988,46613250.11041438,264.7696129673021
1027032,779840.8336232051,29494309.723137107,64.34531509705641
1027033,8676928.351891527,26197805.012180332,884.5909125385612
1027035,7176044.100181184,42226915.34557733,548.7024330582967
1027036,9900490.004623944,37358971.58110251,870.8218877109193
1027037,7860939.623503203,54536560.89145519,547.1582058540388
1027038,5744495.650865607,36071318.243640035,485.5967841349349
1027039,4766287.929222089,36247021.461308114,398.6390578782806
1027040,4988521.933332973,53917953.65434964,340.60537169311687
1027041,4406730.916165397,124302811.61099981,185.79463397588916
1027042,26602884.651927933,35129110.932197854,2802.2717271722063
1027043,5536994.189657395,66934701.23050595,324.0068072816906
1027044,5902829.887049984,34861305.01715891,480.9457937080746
1027045,9948914.18823976,43119687.410046875,796.934107601472
1027046,14388711.745697454,50976365.20677969,1005.8138752466251
1027047,1752227.9265670923,71386220.37377086,100.20063822373709
1027048,15012205.433103578,30787406.92322639,1516.1702864451731
1027049,4711703.217865549,19415427.137704834,581.7484659882947
1027050,1146943.42168711,16053419.43230185,142.30500342622776
1027051,12502769.167075492,65216052.78444145,779.543652468506
1027052,1640711.9715728494,42967226.14044512,101.94683751255567
1027053,2859157.5689962627,51499677.52115446,192.93605051593485
1027054,4611425.531580733,18381286.476468142,517.1058248758958
1027055,6360212.03297167,86804702.4180752,345.660263222091
1027056,3286828.2273279238,16025536.704016283,397.0724703723717
1027057,1931698.6284384814,24168703.007100582,154.99176679722413
1027058,19459998.954615954,34916177.986519694,1927.0405945191717
1027059,5443908.195275659,45054616.541314885,363.88887930847545
1027060,17847104.54957039,57086863.19180973,1314.3618820882914
1027061,5637555.754223055,38942465.54603627,468.7532049195653
1027062,4865403.919967955,61436442.25457374,306.62372699372105
1027063,7251226.661199777,80048238.3318319,379.4816645829729
1027064,3266730.0724971183,35808575.31929445,260.40003646588804
1027065,7216235.5113910725,44910030.867507845,530.4114239729045
1027066,9430806.385235671,40888343.15940611,763.3519580603452
1027067,5430600.651519781,47392038.79343836,366.68441635537636
1027068,1541265.8936943812,94831155.25829421,77.37928426467364
1027069,12207148.761608303,115595925.55961415,581.7608380411207
1027070,3617338.7912636665,55052081.47349172,226.36259706009145
1027071,898440.9102838866,34761379.49270648,72.91659689813862
1027072,9095180.071173776,71998427.31058156,540.745531075573
1027073,3150558.668094889,43182838.40085114,232.08125019897508
1027074,6582470.8053429965,31274038.650766674,601.5858158239544
1027076,1424115.5867461013,30525593.958066832,122.89376854582763
1027128,15667461.185370514,27947904.95497574,1702.5276025743362
1027131,1770125.8168484478,16915476.16844717,204.83279568341126
1027132,2075003.8575386829,42395208.530234136,157.81600492603542
1027133,1975009.6746727584,29664370.958835516,164.83507974398535
1027134,11117074.30099914,35802661.97175147,967.2998585914457
1027135,1682580.2494678525,60311324.205979936,98.34132242094107
1027136,2897925.7382197627,19717557.017884918,301.96835319637444
1027137,6859868.870684244,77685314.78206766,359.92420955425234
1027138,4575156.828665749,40878308.58748257,370.52693030500956
1027139,4408494.132426388,36440927.48439937,339.5083162616527
1027140,678531.9761815334,113076475.19419819,29.51358066228869
1027142,668813.8131924979,53742893.478695296,42.66289672876363
1027143,11009724.78627454,46408204.63675247,840.8139658264699
1027144,7769309.434648892,22572223.55804398,894.5700528230221
1027145,1378077.1430656419,20353937.128299452,130.95632522179565
1027146,1007649.57432925,14609211.77218213,129.02197073557463
1027147,14549517.844708506,66801206.36015879,928.712930053283
1027148,9041617.948009195,64717684.76750761,560.7624291581552
1027149,765542.2608440435,49352722.03146365,52.41077056075691
1027150,10306013.549503809,74760994.27287209,605.8079829615608
1027151,6311654.905028203,54601728.46450313,415.2151416525237
1027152,2206087.4109199774,67586955.68050526,122.99026166589329
1027153,1229377.329479722,48893304.130034894,68.97022148051893
1027154,808169.5343608074,23070306.88054741,81.63559733409743
1027155,472872.45433167566,18942606.098802175,40.51564971457862
1027156,2596092.5699230996,29164751.77837373,213.65316028336454
1027157,685069.2145866349,27659792.28292498,59.690137592717946
1027159,13095470.364792362,49178671.20841726,918.0923683843512
1027160,12332791.228529759,59353740.06506071,732.3990446881913
1027162,3081062.2500041113,49976014.780148126,208.07151469577533
1027163,1827214.9653627381,49293151.28773162,109.56657980930072
1027164,5219453.743050408,43532364.70488148,377.2717898332035
1027165,1249384.4810489938,37371296.42921992,95.93549192516012
1027166,2645382.070831689,16635322.47860985,310.18829205140247
1027167,2371288.5375422807,36486059.76843913,163.55793888001398
1027168,5289430.971580812,42856889.42955597,408.0784862648861
1027169,3064039.2615459845,57305139.3227537,188.06060011497894
1027170,3041653.0099068605,71673119.85469124,173.64718894851163
1027171,786270.6243202054,12365648.136805115,99.37075016959808
1027172,9505571.303005747,47085901.787903346,710.8097177079374
1027173,5806170.598745322,40735877.738606006,356.928909367735
1027174,971340.1096422438,37225663.35195695,72.67503732027802
1027175,842448.7812054803,32387650.47370777,72.23371350468302
1027176,18070832.2950881,100800593.70718575,945.8805930480048
1027190,913565.7487660848,70885866.7939408,38.702185183394796
1027198,4009112.316509699,52050221.704819635,267.1343729325835
1027224,21084765.083470874,60041082.59546554,1484.0541407805545
1027237,3259557.9661559607,31331902.172979496,288.1927636564739
