,Extra_disp,Intra_disp,CH_score
1026760,4857971.172099626,38416448.59205194,386.32154909381353
1026761,3636201.880733287,35828046.569723435,233.2045836015403
1026762,6196677.010385454,100090734.87140876,304.95921182886457
1026763,15432685.028023561,79929130.96295369,885.694763694621
1026764,2540594.027764859,38419055.71124672,183.77106548955916
1026765,3735158.5290235598,44250080.78393364,232.9890564980418
1026766,11702667.379583951,70007140.28068341,665.0449042236223
1026768,7280727.704955981,112635872.15891121,330.876729249707
1026769,2499977.0173554514,21896560.948351253,240.90319566905282
1026770,3921161.832807897,147281381.25738817,147.96869127873225
1026771,16347622.097645717,42282166.713224605,1334.0336995567145
1026772,1858153.623181072,35943885.06167783,144.2937619047936
1026773,7868988.0235100165,31370695.32315757,728.3355816534038
1026774,858682.1399510156,59045371.05851591,52.345178616570294
1026775,4511268.326432208,43289477.50715035,334.3943757109249
1026776,1939005.2959329316,9536853.873536669,282.65140665370365
1026777,10097031.378892403,27203095.698477454,1034.827940039471
1026778,3255975.5742023294,57453634.93324295,203.92621841634872
1026779,11371179.332441133,104206868.86411887,554.3575569859428
1026780,11461558.852119558,42010271.81302219,906.1693706925646
1026781,2512281.4095384935,63025213.29749163,138.86959704900417
1026782,3626357.4350592447,50482459.34025834,241.93694207642451
1026783,6144374.403023198,55632422.18399306,385.7213531733019
1026784,9737537.303150788,94785832.49949412,507.9275105221561
1026785,5224825.374940016,51929115.70030651,359.03301291583335
1026786,18507682.50511295,103338462.70954394,944.0956929238508
1026787,2480244.8066044063,87958578.27764043,126.28699335948926
1026796,5510778.081928743,67054437.21695267,324.6418355403239
1026797,4356065.598892599,99016364.00552224,211.2034706303422
1026798,2626644.899031157,56320054.11816082,169.22068880916547
1026799,1337831.518772657,33864860.70287726,95.05694497651555
1026800,942674.853127383,13943194.88149234,107.83514133722336
1026801,18186654.064314604,118715539.63094792,871.619564599524
1026802,5477876.369397226,61278209.46574618,320.9049474896029
1026803,472973.4863495333,41194725.97074443,28.163895612252794
1026804,9741491.602356639,92564610.16012748,513.6760196888326
1026805,1796043.6058985558,15920333.619629594,203.85570261273202
1026806,574437.3482309446,11595010.71822833,70.01242864258514
1026807,2905827.8045406896,42889099.900802135,211.1833843028245
1026808,19601595.249563012,121558215.6765664,897.8552518405124
1026809,2105212.1776717626,54877909.07714863,136.43737082951603
1026810,101319.03368678737,19923721.565206844,10.473780267323306
1026811,1322518.9659960323,31144944.908815432,112.56187112631562
1026812,9254511.346935246,79685169.68614389,478.04904923078504
1026813,9177056.425823325,56029881.9089091,624.1656315532368
1026814,13865912.427178612,127827917.26345737,610.812994132726
1026815,1024617.6633157112,39423039.58020941,74.22837197714948
1026816,8992762.122953834,67627855.17553899,515.0889861737559
1026817,898408.8281561878,25087859.508638047,83.42414407064236
1026818,4864284.084168637,66191237.743013896,279.88768596369084
1026819,18627214.815730315,68122528.27774867,1141.0522978406914
1026821,3928427.0506732226,79422512.49011256,214.71622204215026
1026822,5555146.5427155625,113360550.02202,248.4612503680101
1026823,170076.190936218,14383425.010949872,19.044470486920755
1026825,674603.7991442995,23163956.31956137,65.666530592878
1026827,13730971.755822474,115907256.85993965,564.7471118521559
1026828,3365655.145684641,35181108.037958264,255.35314877429903
1026829,14761401.280300498,72356726.98162946,886.4177698251834
1026831,6282561.985938969,55947796.56081589,417.52890036921974
1026832,7918227.624929227,85844910.2725163,392.7526177139351
1026833,7481196.225375977,77721939.66707127,415.86404444571843
1026834,10889600.82966905,76155804.4876158,625.9005609924145
1026835,5206259.770533311,85803114.99228464,242.2946593205038
1026836,2424138.0427842373,56718489.40315091,149.67485056749038
1026837,31953946.720152568,148828441.3398918,1394.282760287501
1026838,12412816.82195138,76889324.44242834,748.0688770080932
1026839,3181005.6171627105,76204079.74394311,175.70566941759455
1026848,4685584.020773369,92168404.33271794,226.0730484728868
1026849,8908603.576654045,69274799.6045642,541.5777933228258
1026850,239132.02481880342,12876392.18388559,25.836466315794475
1026851,6189432.690546268,34422239.05184751,536.4065822280264
1026852,8393053.813774602,79247099.95413968,456.57765409864976
1026853,8651492.322637925,48871293.48959661,641.6486414321885
1026854,3699923.7620300744,61725497.13610758,222.01162024810472
1026855,281852.13487442053,8264172.713979302,33.58008376663381
1026856,3519966.872634147,19525345.089765944,320.06344353679117
1026857,1310522.9694211718,26197617.705542367,102.8403861304559
1026858,2051263.8906450453,38044124.809372865,120.32345391832244
1026861,12984895.294900242,479054787.62154657,228.02554734965898
1026863,649495.0933751463,56163373.819708854,39.68898249629865
1026864,435470.4049878168,12619507.162142638,57.993672274144934
1026865,3088743.1360303736,40217876.79038034,211.13925714760236
1026866,7939485.544524098,138166563.4779159,295.4410238707337
1026867,61802.18611984932,3032162.0901147183,13.183218045182466
1026868,1685420.7702312204,106238551.9128197,73.57000014725462
1026869,131052.52230864685,25872424.01621513,11.262268194059677
1026872,2215935.468163207,101580681.52968974,91.41599596543975
1026873,2283332.332663052,65321342.01207712,137.85702767545143
1026874,4788337.078842264,56191488.419797406,269.2611982208165
1026877,1196448.6340509409,20380586.164433517,91.34546276358337
1026878,18245948.052986797,42344044.17296207,1502.626196743944
1026879,11563689.367057726,68900961.27545719,686.3600036936564
1026880,491618.2440301409,32392837.3835759,33.75917981717494
1026882,9480878.055586603,122766919.76182048,416.7613442940711
1026883,397941.52803775907,30950322.15837448,24.511400080723025
1026885,3109407.439567966,91347972.85178484,154.50370629569184
1026886,1308554.3708128687,46339745.10967011,88.36885136787804
1026887,10719489.11764811,28232177.72041336,1091.6860688637867
1026888,3734000.9282834874,32534931.72646672,256.6923006451261
1026889,8031747.903765898,77255376.23267321,450.66146216656256
1026890,14012759.612589488,67362468.70000361,865.6555939409443
1026891,9013808.132930085,65737500.85348692,565.1463946505356
1026892,1245962.6983218484,26768728.784963477,106.59840422827872
1026893,1463116.4121507602,56672330.158585414,95.84864388936744
1026894,5880295.030912545,41443907.3060568,384.8505915250955
1026895,9996791.387401454,87166453.42545395,544.4155044873855
1026896,1138037.426672532,66226821.89066674,64.8727927827625
1026897,7517090.613070279,122968583.5285058,333.95412747584675
1026898,3631715.112816745,59537933.626899235,232.7330660864701
1026899,5170048.81456397,89385577.30369337,251.91570369844777
1026900,3014833.6739677656,30841348.564975373,272.18339250343183
1026902,1326877.9001736292,63675048.68365147,74.13006412493857
1026906,9347551.584041743,9265474.088632135,1510.2610603033181
1026907,1129772.7595812294,39055488.61240373,78.39897135596476
1026909,2198932.5774829816,57725634.89065442,127.03957539483038
1026910,11221753.386451503,45339766.2581579,853.2437596652195
1026913,1134394.0891665795,18520707.58072945,103.61056848771902
1026914,6706915.530814452,31912540.234384898,465.7267866213564
1026915,2333691.1008334537,52579196.43243591,138.69207684174066
1026916,2245715.499235026,42080206.44372747,135.9803949560658
1026917,1498446.0380183568,21891559.376816805,144.42649268589793
1026918,2903308.962880119,118112268.63442916,128.59757369672707
1026919,13455716.722077675,90789770.1019377,724.5860296856697
1026920,12054951.763287667,27874180.032063767,1238.7016515173216
1026921,367947.6232040733,18062096.0348503,36.24454271207251
1026922,3503241.337376887,26842328.401971903,311.68834672736
1026923,7859085.300490562,50186517.12521819,549.9705729022106
1026924,1892488.2034720678,69113300.67723449,108.17144204861621
1026925,2733948.571110741,54232222.72176931,163.3546719129977
1026926,7146569.710586434,34072588.005390875,509.89114662164377
1026927,23422211.356436007,55541598.40045126,1484.3198954770025
1026928,2324761.968461855,57381683.33570433,139.5950654091045
1026929,3631618.9002672643,76204134.268257,199.19445086669188
1026930,1152114.571292046,31265388.545928646,88.41673911383747
1026931,19421415.73240052,114187658.101508,936.1725973856995
1026932,6362001.11072821,132220148.60308321,246.31916111218467
1026933,3716443.3143451707,26878138.200146757,241.22604616160442
1026934,7384208.646788177,70101206.79761313,434.11236504104806
1026935,924454.1117487218,36345869.044529215,62.564805405905815
1026936,1277692.5346328656,30245084.992658816,113.40994344396631
1026937,11890049.27875324,94028795.88188685,571.9638371761466
1026939,4810358.189160871,41810752.31146244,350.5596190469624
1026940,7193539.905111932,62957006.96235917,456.29046937141004
1026941,4335654.173909016,32863601.559182853,378.66192442551875
1026942,3295071.3156332616,25311070.773492657,287.8867027238731
1026943,5235774.763018891,55138876.54571596,317.97012325611587
1026944,897133.5633934174,40689971.48629646,63.24696837934783
1026945,4628847.294806168,57256623.00915406,299.1708452037257
1026946,9728405.661006728,29719550.98568491,943.5255765066049
1026947,373381.48654247914,31016843.580071002,30.164878852447128
1026948,12094484.79337687,49100020.91457445,886.320909297434
1026949,7818545.886464216,180157452.85760933,287.00232400172536
1026950,3431304.4632232767,44702844.766253054,244.689402320111
1026951,6662446.150583579,42497419.62555969,490.04090980076495
1026952,26052683.766703278,84532635.20334394,1514.2322911696363
1026953,531057.0519522026,53305106.13236626,29.618787579812146
1026954,3719713.56879572,39557591.053798996,280.387193051026
1026955,4450641.908867783,77121524.59413607,245.8423200469037
1026957,280775.8346222087,15582343.835852904,31.83569492730075
1026958,4215381.834371269,19138418.86963473,469.280800963201
1026959,2831729.025764291,68411759.1474272,155.58586995409996
1026960,23290136.99295982,93002912.3954153,1310.3171681747287
1026961,1301521.46788927,88102637.53667323,65.38730828317738
1026962,436379.0876510258,46725630.6095041,28.680622619648855
1026963,8309066.125740406,55815167.1840915,492.2156041839913
1026964,9150076.01795174,67891506.2434872,520.6087712265863
1026965,3944189.474706176,51686711.17471116,264.4583633371041
1026967,2292166.1559465984,22274447.986690428,186.87662839888424
1026968,4948197.841954866,20963770.66235927,535.8954055219571
1026969,8002440.474381165,61024035.08667511,507.36471541753724
1026970,9089168.630463533,74334627.43208697,514.3564726390726
1026972,4470642.888940927,54604386.494057804,295.97208358489985
1026973,1263881.9428360192,26003760.620102488,117.70871659209297
1026976,1472739.2237311779,30763307.658356834,129.6215857689578
1026977,4600020.226055865,51157512.28660864,271.82442073140015
1026978,588562.9527070044,30304137.764665995,41.49676240648669
1026979,3405334.0299366554,32579947.736246157,266.30214731192405
1026980,3912834.5560448784,49541153.84001783,263.89298200189927
1026981,5732455.518496123,81107555.41068834,307.9123219214808
1026982,10859229.013753932,26983751.065508112,1177.4468335150636
1026983,828974.645870759,39326392.604915254,62.997734156264826
1026984,434591.01861351,11150266.618453996,64.38808930015189
1026986,644945.7281302391,28671962.820609815,54.246412346798806
1026987,326642.1671106972,17517698.068856042,35.85331568404314
1026988,4261970.989935743,94378576.48267265,218.22270878970826
1026990,1486179.6185659089,114060478.79812407,65.18784341458971
1026991,4687581.070906591,74877722.46494004,253.3298948884609
1026992,12649763.124992087,59569213.58312643,815.312098661847
1026993,5264664.720558236,55416714.937213354,340.9409736853933
1026994,1994208.0017273608,39992826.97484897,146.40112079982916
1026995,7112016.3578043785,23986809.34714486,747.2909701658081
1027003,12539979.31040843,108928310.44301406,578.4159489022617
1027004,20803613.94604275,76568709.40972607,1251.0635416793446
1027005,1466749.668213096,38535076.730044864,113.57153096316516
1027006,4065791.7750983564,23961367.847744327,375.36857753800115
1027007,3648232.0642128917,103477296.34981981,166.38178001123876
1027008,1617469.3934381057,20742753.65077925,163.20704075559303
1027009,9291172.145899665,51069842.2840528,681.0393816669663
1027010,1811234.1476999167,62104865.331126004,105.88327760761756
1027011,631066.8373964197,19142553.6106704,48.90280396404566
1027012,3919359.6248774533,31471148.82518033,301.5816588179112
1027013,18175263.063162036,51478668.110893704,1268.982530023792
1027014,2763534.5455238554,39224194.13145055,219.55139019303462
1027015,717650.4775438915,37109625.629040666,48.965490175118966
1027016,2033340.962841188,47941880.826735705,142.6930320090382
1027017,1931941.1430959608,61788509.89318803,95.61447631283258
1027018,1827565.4852977516,22992456.677239526,138.49542683862157
1027019,2916767.2826867164,18930295.061847925,326.27840071365756
1027020,10144663.610734254,68907192.42944343,602.9629537825998
1027021,3615976.169727057,50583712.5157542,220.7885392820988
1027022,2329997.1431311048,25233207.587143343,215.2226316236158
1027023,3157301.7221433385,62719961.13570611,195.3480971781776
1027024,6233712.391477246,43870179.68052085,477.43760768464847
1027025,981829.3213201062,31481661.45135298,67.98216663122108
1027026,6000482.283717873,46637095.00056473,413.2407689332214
1027027,1904950.087540043,51865029.24062055,119.24433562959861
1027028,3502241.5692608203,32969364.52431409,291.8484667877401
1027029,3022746.9751093676,27598327.708167806,246.91643829817247
1027030,1366425.1261619735,51761741.937039986,79.41154819558045
1027031,3886927.4977583988,46613250.11041438,264.7696129673021
1027032,779840.8336232051,29494309.723137107,64.34531509705641
1027033,8676928.351891527,26197805.012180332,884.5909125385612
1027035,7176044.100181184,42226915.34557733,548.7024330582967
1027036,9900490.004623944,37358971.58110251,870.8218877109193
1027037,7860939.623503203,54536560.89145519,547.1582058540388
1027038,5744495.650865607,36071318.243640035,485.5967841349349
1027039,4766287.929222089,36247021.461308114,398.6390578782806
1027040,4988521.933332973,53917953.65434964,340.60537169311687
1027041,4406730.916165397,124302811.61099981,185.79463397588916
1027042,26602884.651927933,35129110.932197854,2802.2717271722063
1027043,5536994.189657395,66934701.23050595,324.0068072816906
1027044,5902829.887049984,34861305.01715891,480.9457937080746
1027045,9948914.18823976,43119687.410046875,796.934107601472
1027046,14388711.745697454,50976365.20677969,1005.8138752466251
1027047,1752227.9265670923,71386220.37377086,100.20063822373709
1027048,15012205.433103578,30787406.92322639,1516.1702864451731
1027049,4711703.217865549,19415427.137704834,581.7484659882947
1027050,1146943.42168711,16053419.43230185,142.30500342622776
1027051,12502769.167075492,65216052.78444145,779.543652468506
1027052,1640711.9715728494,42967226.14044512,101.94683751255567
1027053,2859157.5689962627,51499677.52115446,192.93605051593485
1027054,4611425.531580733,18381286.476468142,517.1058248758958
