,Entropy of slide
1026760,1.9572860257981581
1026761,1.6507226140081692
1026762,1.6795759071582563
1026763,1.9168439565988067
1026764,1.3651308544927407
1026765,1.7865546638132226
1026766,1.8453717234468971
1026768,1.92333725413724
1026769,1.786255389093483
1026770,1.656901578445211
1026771,1.8416237501850843
1026772,1.9170785849303038
1026773,1.8289556577592985
1026774,1.7896130707328084
1026775,1.7120417162920711
1026776,1.1885906468176963
1026777,1.674218355450447
1026778,1.8141478243305353
1026779,1.748605298902949
1026780,1.548529693036482
1026781,1.7107273902073408
1026782,1.6941295050331835
1026783,1.6980073940978557
1026784,1.446966885689955
1026785,1.7608200876643925
1026786,1.7725071209549175
1026787,1.8465575341902394
1026796,1.6437908752927999
1026797,1.4382076222362896
1026798,1.6513974658997392
1026799,1.4023590474162386
1026800,1.8431941332930253
1026801,1.9033628476135402
1026802,1.6552595784053443
1026803,1.8175925851157781
1026804,1.7065381794397922
1026805,1.7105162361765
1026806,1.8453679507481735
1026807,1.5866514558827578
1026808,1.720143309304529
1026809,1.8856144628380607
1026810,1.66008007400813
1026811,1.484738136491285
1026812,1.8793563517364473
1026813,1.583492094916396
1026814,1.789071367869661
1026815,1.8479561492908705
1026816,1.2461104206830083
1026817,1.352759917430524
1026818,1.6798208472147187
1026819,1.4478306004736905
1026821,1.5241091531132733
1026822,1.4387381277212807
1026823,1.4678724961317882
1026825,0.9400929956729464
1026827,1.565634793254954
1026828,1.6320996657109443
1026829,1.7439992365662038
1026831,1.3729877355257012
1026832,1.63146165823182
1026833,1.5207890083774405
1026834,1.8150376759307323
1026835,1.266604476038857
1026836,1.7269569124810182
1026837,1.6465565823077417
1026838,1.715905589273059
1026839,1.7599238804903454
1026848,1.6827568306729814
1026849,1.8961191435570752
1026850,1.1200329155872215
1026851,1.4683420467957948
1026852,1.946752361721169
1026853,1.3989610109115584
1026854,1.341071778978093
1026855,1.3008361991439408
1026856,1.0013578615412044
1026857,1.8301461312165077
1026858,1.4636904083708613
1026861,1.8749035174729012
1026863,1.6285656795544738
1026864,1.9588377320443486
1026865,1.8305815717868679
1026866,1.492451763792624
1026867,1.5042233463010295
1026868,1.892528993121402
1026869,1.1997681790510653
1026872,1.9344443795669772
1026873,1.620173255154931
1026874,1.2782531226839007
1026877,1.8246224513896394
1026878,1.802145078936752
1026879,1.8842633962950728
1026880,1.8994208330100626
1026882,1.6042119582921104
1026883,1.2739238885908617
1026885,1.7301051962838943
1026886,1.1403311139823227
1026887,1.2435491276299206
1026888,1.641953012942344
1026889,1.9207055152770984
1026890,1.6753128212723805
1026891,1.7219014267797685
1026892,1.8207964889243093
1026893,1.9232435998328048
1026894,1.7390286881245514
1026895,1.9724391953406595
1026896,1.5920327575920261
1026897,1.4211834513227615
1026898,1.6907131827247557
1026899,1.8480673311318732
1026900,1.523773618650972
1026902,1.7457509738835582
1026906,1.5102824246058022
1026907,1.8307025344981713
1026909,1.6577165242335816
1026910,1.9013314787484445
1026913,1.6416179184067117
1026914,1.6106372080591296
1026915,1.1638791280150376
1026916,1.3608938904366397
1026917,1.9665310449707267
1026918,1.0436928184339316
1026919,1.8547809522262613
1026920,1.5837157990779827
1026921,1.9092403335911763
1026922,1.6810040508491175
1026923,1.8287855940100675
1026924,1.7417867455267773
1026925,1.4826319053772097
1026926,1.7333801682480734
1026927,1.1573565368563365
1026928,1.5561354155993556
1026929,1.2714602179201442
1026930,1.2776643864052786
1026931,1.7088722943189385
1026932,1.7751901124104883
1026933,1.7322320740044779
1026934,1.3781538348025555
1026935,1.7603222628315431
1026936,0.9595306183621118
1026937,1.3205247282074992
1026939,1.846997091094146
1026940,1.527605232776375
1026941,1.4363999143015982
1026942,1.8766504247673716
1026943,1.5654008176658616
1026944,1.470474916145644
1026945,1.489929222172788
1026946,1.7255599391928818
1026947,1.0960838576177592
1026948,1.906021492337159
1026949,1.8782039086349283
1026950,1.5742202182755747
1026951,1.6289205813480678
1026952,1.7435512607635824
1026953,1.8384387924192684
1026954,1.3248705653219561
1026955,1.5576061595633353
1026957,1.6394559616422144
1026958,1.5271028247405198
1026959,1.4798864085218053
1026960,1.8250307807546935
1026961,1.59438949799389
1026962,1.500755664255212
1026963,1.87565387787331
1026964,1.733652465806435
1026965,1.1014853553235127
1026967,1.9146313349115718
1026968,1.6925459578328872
1026969,1.9270962000126586
1026970,1.721478639923301
1026972,1.7651519371077007
1026973,1.4557636786681027
1026976,1.3717837135036024
1026977,1.4665974200002387
1026978,1.489024587518739
1026979,1.05164385803296
1026980,1.7848283408614474
1026981,1.5483352012573082
1026982,1.6722020730097595
1026983,1.795475131705234
1026984,1.5167906941142444
1026986,1.3125253073420002
1026987,1.6918933532468985
1026988,1.7343317262174405
1026990,1.6867839890723393
1026991,1.395527030064033
1026992,1.5670761044637558
1026993,1.6837209056851525
1026994,1.1672958480470972
1026995,1.7603935652792406
1027003,1.790265321148133
1027004,1.846072649294394
1027005,1.2298602948874342
1027006,1.9509523082114608
1027007,0.0
1027008,1.4880598042200102
1027009,1.5980730805462695
1027010,1.156587568518698
1027011,1.8211563414660863
1027012,1.9371217410449288
1027013,1.2588851896723812
1027014,1.381839816960159
1027015,1.0583029614009323
1027016,1.1346183381405832
1027017,1.9064573802670028
1027018,0.9256008619262782
1027019,1.334988610042388
1027020,1.8456093804557456
1027021,1.5094207070880954
1027022,1.7582135527667644
1027023,1.8385097650534166
1027024,1.6959086014515075
1027025,1.8069773000658975
1027026,1.8812371355665245
1027027,1.7982288322804705
1027028,1.6656933823766265
1027029,1.671641716589246
1027030,1.82698146469904
1027031,1.5752508295117684
1027032,1.070144563861005
1027033,1.8605301571625985
1027035,1.159274062599563
1027036,1.4754820500052084
1027037,1.0632257244571006
1027038,1.7961639059626981
1027039,1.0417352242651603
1027040,1.9114320066353787
