,Entropy of slide
1027041,1.2944135995265305
1027042,1.3698234523634407
1027043,1.8131327203950036
1027044,1.902463570406695
1027045,0.5083149555436682
1027046,1.839199205799297
1027047,1.9134169318111074
1027048,1.7640386395712977
1027049,1.776786246002002
1027050,1.6267663566661714
1027051,1.7492580009233
1027052,1.2862305879516847
1027053,1.227063268723401
1027054,1.0026888308332353
1027055,1.4513833582603004
1027056,1.7130832236384095
1027057,1.588549552647352
1027058,1.6784394688885247
1027059,1.7272616511016383
1027060,1.7085343758059994
1027061,1.767697559775013
1027062,1.5969951276007779
1027063,1.3289113148480096
1027064,1.6773707250671426
1027065,1.609622742635896
1027066,1.8776011246730806
1027067,1.7574685435984647
1027068,1.0455981217687789
1027069,1.7518245191957824
1027070,1.620827026727372
1027071,1.7385067868903852
1027072,1.9886940588184314
1027073,1.2403273517515196
1027074,1.7079801420872045
1027076,1.0947444933617279
1027128,1.9046845825555356
1027131,1.662947419315133
1027132,1.5131451626620764
1027133,1.8147754134972858
1027134,1.7546947992697701
1027135,0.8708093314270029
1027136,1.7394069394649687
1027137,1.5851236657232508
1027138,1.5645744236752555
1027139,1.5359702910450537
1027140,1.3552861038026927
1027142,1.7323201556203116
1027143,1.9067621902002119
1027144,1.900634654060099
1027145,1.8253027110288362
1027146,1.7626710466872306
1027147,1.9650133053676975
1027148,1.823350316262819
1027149,1.8422579920845141
1027150,1.8957255573054186
1027151,1.3191814079232116
1027152,1.7905974649778817
1027153,1.6266805910238071
1027154,1.873864397468423
1027155,1.5756020163262565
1027156,1.8009892853444227
1027157,1.5498089324038764
1027159,1.8045820386005245
1027160,1.8374878793857718
1027162,1.960121969503595
1027163,1.4896580126718661
1027164,1.5600940435231765
1027165,1.6458782172468671
1027166,1.6027213092192625
1027167,1.7420849856166731
1027168,1.7062784955991783
1027169,1.7699154652138598
1027170,1.3545783877066384
1027171,1.7866654888009936
1027172,1.5309631241821446
1027173,1.8241404066078961
1027174,1.574536811708095
1027175,1.8413795799667376
1027176,1.8857387046999508
1027177,1.3528519749642234
1027179,1.6973578484530838
1027180,1.8784848798735179
1027181,1.5556737928946582
1027182,1.8001319149897332
1027183,1.7931773369561268
1027184,1.7165444891386377
1027186,1.8862872325018023
1027187,1.8370387898816718
1027188,1.9164740848428685
1027189,1.6726413327287486
1027190,1.694839392353337
1027191,1.3627377809501933
1027192,1.798753715791155
1027193,1.8785889536840603
1027194,1.2469783120192461
1027195,1.5357259404195973
1027196,1.2817393754645032
1027197,1.8540209117891455
1027198,1.902866904072461
1027199,1.9828850165897678
1027200,1.915808025038265
1027201,1.5675771694091736
1027203,1.947036163583405
1027205,1.8437287075009787
1027206,1.7688186888239683
1027208,1.7468071762126707
1027209,1.9206080162123853
1027210,1.4698342259515367
1027211,1.5149430326421656
1027212,1.9320499792525954
1027213,1.771908123767429
1027214,1.8370534658638737
1027215,1.3236333760519514
1027216,1.8598641318124047
1027217,1.28158480227543
1027218,1.912645084252282
1027219,1.7327674531190593
1027220,1.4796350751133618
1027221,1.4402400415051126
1027223,1.8972503729397054
1027224,1.6099389837743665
1027225,1.3697335819725895
1027226,1.2088085787002147
1027227,1.899230400194679
1027228,1.3683294665345473
1027230,1.080538605340034
1027231,1.315065754034883
1027233,1.292660881987691
1027234,1.8953806306980978
1027235,1.7126249509608678
1027236,1.4741646090203628
1027237,1.9468722872945934
1027238,1.3553919905541376
1027239,1.8450472822804018
1027240,1.8127260266756846
1027241,1.6706082680398366
1027242,1.8166176623286248
1027243,1.473047481265969
1027244,1.7027186299941035
1027245,1.9156384515144413
1027246,1.892390406462334
1027247,1.724281032037283
1027248,1.5537633320871416
1027249,1.4537914840894417
1027250,1.8191816055452252
1027251,1.5141842624477337
1027252,1.881895399691088
1027253,1.8862718509718595
1027254,1.825734524022726
1027255,1.708203765290175
1027256,1.7474076946942927
1027257,0.8953298632369984
1027258,1.7687132572441748
1027259,1.816404930752982
1027260,1.5139681719624754
1027261,1.6774461668732161
1027262,1.1047005559075955
1027264,1.7529238914077487
1027265,1.7685957502343328
1027266,1.8746344664088195
1027267,1.3037053703327373
1027268,1.846609161943704
1027269,1.61040271675439
1027270,1.6161230446152728
1027271,1.6405211715206025
1027273,1.4274436369650076
1027274,1.551522343733432
1027275,1.7472561839544773
1027276,1.6922620330442226
1027277,1.8902448696696643
1027278,1.697215780794506
1027279,1.5695155886069887
1027280,1.7441305003229557
1027281,1.381137849098675
1027282,1.9329335644201626
1027283,1.6338436236573555
1027284,1.9030151874917856
1027285,1.5946075390891765
1027288,1.5031532395774176
1027289,1.479761190502673
1027290,1.5356819672225943
1027291,1.715312626677468
1027292,1.308673400049356
1027293,1.3103451318740376
1027294,1.2482451657068907
1027295,0.9428974006431993
1027296,1.9291606795300562
1027304,1.6039386549460193
1027305,1.7655974612501875
1027306,1.9621438801978532
1027307,1.964904366907336
1027308,1.814855466321072
1027309,1.666957698710667
1027310,1.5058421501189156
1027311,1.4775293323473193
1027312,1.8964125316551945
1027313,1.5665037994379605
1027314,1.1918784628672898
1027315,1.7428067573864536
1027316,1.1794192250906592
1027317,1.6565880189598696
1027318,1.4216060655263099
1027319,1.597054455506718
1027320,1.8666085685430358
1027321,1.7070528497429287
1027322,1.8340560830713488
1027323,1.8739229610925265
1027324,1.5712048608692522
1027325,1.7504128110208192
1027326,1.2733089304243561
1027327,1.080298246372104
1027328,1.69401117794037
1027329,1.8293533317330888
1027331,1.5757664873657384
1027332,1.7117292502022794
1027333,1.9233417360932374
1027334,1.5000585880731248
1027335,1.90352051227387
1027336,1.7355918014762148
1027337,1.623000032258688
1027338,1.6796676640082113
1027339,1.7241011447770123
1027340,0.8146487088316746
1027341,1.6699069968361515
1027342,1.58859595747895
1027343,1.3996911681924307
1027344,1.9340146241321352
1027345,1.8627854379053086
1027346,1.8232045322356365
1027348,1.8448531757700373
16416,1.829870019397181
16417,1.675615019562067
196629,1.7256025195181974
